classe,page,de,en
8,157,"freundlich, nett",friendly
8,157,"hilfsbereit; hilfreich, nützlich",helpful
8,157,"nett, freundlich",kind
8,157,"gemein, fies",mean
8,157,wer,who
8,157,traurig,sad
8,157,"dann, danach",then
8,157,frei; kostenlos,free
8,157,heute,today
8,157,der Strand,beach
8,157,(sich) bewegen,(to) move
8,157,langsam,slow
8,157,zu langsam,too slow
8,157,"seltsam, komisch",weird
8,157,"der Ärger, Schwierigkeiten",trouble
8,157,"die dort, jene (dort)",those
8,157,"der Mobber, die Mobberin; der Tyrann, die Tyrannin",bully
8,157,"ihn, ihm",him
8,157,"sie, ihnen",them
8,157,"einige, ein paar; etwas, ein wenig",some
8,157,(immer) noch; trotzdem,still
8,157,"weg, fort",away
8,157,die Freunde/Freundinnen,her friends
8,157,seine Freunde/Freundinnen,his friends
8,157,"dieser, diese, dieses – diese (Plural); jener, jene, jenes – jene (Plural)","this, that – these, those"
8,157,die Meinung,opinion
8,157,"beste(r, s); am besten",best
8,157,wenn (zeitlich),when
8,157,lernen,(to) learn
8,157,"der Wortschatz, das Vokabular; das Vokabelverzeichnis",vocabulary (vocab)
8,157,"die Gedankenkarte, das Wörter­netz; die Mindmap",mind map
8,157,der Weg; die Art und Weise,way
8,157,die Datei; der Ordner; die Liste,file
8,157,das Wort,word
8,157,oder; sonst,or
8,157,(von) A bis Z,(from) A to Z
8,157,machen; herstellen,(to) make
8,157,die Stufe; der Schritt,step
8,157,nützlich; hilfreich,useful
8,157,schwierig; schwer,difficult
8,157,die Familie,family
8,157,"das Heim, das Zuhause",home
8,157,die Tante,aunt
8,157,der Onkel,uncle
8,157,der Bruder,brother
8,157,die Schwester,sister
8,157,"der Cousin, die Cousine",cousin
8,157,die Tochter,daughter
8,157,der Sohn,son
8,157,der Kreis,circle
8,157,"der Nachbar, die Nachbarin",neighbour
8,157,die Stiefmutter,stepmum
8,157,das (Haus-)Tier,pet
8,157,viel/e; sehr viel/e,a lot (of)
8,157,viel/e,lots (of)
8,157,das Kaninchen,rabbit
8,157,der Hamster,hamster
8,157,Hast du dich verlaufen/verirrt?,Are you lost?
8,157,wütend,angry
8,157,"der Tierarzt, die Tierärztin",vet
8,157,das Wochenende,weekend
8,157,die Arbeit,work
8,157,das Haus,house
8,157,laut,loud
8,157,unordentlich,messy
8,157,höflich,polite
8,157,"nur, bloß; erst",only
8,157,die Hausaufgabe(n),homework
8,157,"machen, tun",(to) do
8,157,vermisst,missing
8,157,fliegen,(to) fly
8,157,nennen; rufen; anrufen,(to) call
8,157,"wenn, falls",if
8,157,finden,(to) find
8,157,wollen,(to) want
8,157,aktiv,active
8,157,"niedlich, süß",cute
8,157,schnell,fast
8,157,interessant,interesting
8,157,"besondere(r, s)",special
8,157,die Eidechse,lizard
8,157,"ziemlich, ganz",quite
8,157,der Traum,dream
8,157,der Baum,tree
8,157,der Garten,garden
8,157,das Erdgeschoss,ground floor
8,157,"die Spitze, das obere Ende",top
8,157,die Wohnung,flat
8,157,der Balkon,balcony
8,157,die Garage,garage
8,157,er/sie/es hat,he/she/it has
8,157,"jede(r, s) (einzelne), jeweils",each
8,157,die Lampe,lamp
8,157,"die Tour, die Reise, der Rundgang / die Rundfahrt (durch)",tour (of)
8,157,das Schlafzimmer,bedroom
8,157,das Bad(ezimmer),bathroom
8,157,das Esszimmer,dining room
8,157,die Küche,kitchen
8,157,das Wohnzimmer,living room
8,157,der Schuh,shoe
8,157,"leben, wohnen",(to) live
8,157,"erzählen, sagen",(to) tell
8,157,das Bett,bed
8,157,das Kissen,cushion
8,157,der Kleiderschrank,wardrobe
8,157,der Spiegel,mirror
8,157,"die Kleidung, die Kleidungsstücke",clothes (pl)
8,157,das Regal(brett),"shelf, pl shelves"
8,157,der Roboter,robot
8,157,der Stuhl,chair
8,157,die Schokolade,chocolate
8,157,unter,under
8,157,der Tisch,table
8,157,vor,in front of
8,157,hinter,behind
8,157,neben,next to
8,157,die Tür,door
8,157,ordentlich,tidy
8,157,die Person,person
8,157,"die Bonbons, die Süßigkeiten",sweets (pl)
8,157,sein Terrarium / ihr Terrarium,its terrarium
8,157,"die Wand, die Mauer",wall
8,157,mein/ein eigenes Zimmer,my own room
8,157,das Problem,problem
8,157,die Eltern,parents (pl)
8,157,"natürlich, selbstverständlich",of course
8,157,bei ihrer Mutter (zu Hause/dah…),at her mum’s (house)
8,157,witzig; lustig; seltsam,funny
8,157,sprechen (mit),(to) speak (to)
8,157,später,later
8,157,das Abendessen,dinner
8,157,der Liebling,love
8,157,"unhöflich, frech",rude
8,157,klein,little
8,157,perfekt,perfect
8,157,der Teil (von),part (of)
8,157,"elektrisch, Elektro-",electric
8,157,der Kopfhörer,headphones (pl)
8,157,das Spiel,game
8,157,zurück,back
8,157,am Telefon,on the phone
8,157,das Geräusch; der Lärm,noise
8,157,die Idee,idea
8,157,wichtig,important
8,157,lang,long
8,157,buchstabieren,(to) spell
8,157,das Alphabet,alphabet
8,157,die Adresse,address
8,157,"so, auf diese Art",like this
8,157,Null (im gesprochenen Englisch),oh
8,157,schreiben,(to) write
8,157,"(jm.) etwas präsentieren, vorstellen",(to) present sth. (to sb.)
8,157,modern,modern
8,157,"der Fotograf, die Fotografin",photographer
8,157,"die Reise, die Fahrt; der Weg",journey
8,157,(mit)kommen,(to) come
8,157,der Bus,bus
8,157,mit dem Fahrrad/Bus/...,by bike/bus/...
8,157,das Auto,car
8,157,"der Zug, die Eisenbahn",train
8,157,kurz; klein (Person; Körpergröße),short
8,157,"der Werktag, der Wochentag",weekday
8,157,um 8 Uhr,at 8 o’clock
8,157,"4 Uhr nachmittags, 16 Uhr",4 p.m.
8,157,4 Uhr (früh)morgens,4 a.m.
8,157,das Vereinigte Königreich,the United Kingdom (= the UK)
8,157,die Stunde,hour
8,157,"die (Wand-, Stand-, Turm-)Uhr",clock
8,157,der Morgen,morning
8,157,der Abend,evening
8,157,die Mittagspause,lunchtime
8,157,"das Ende, der Schluss",end
8,157,vor (der Schule / der Unterrichtsstunde),before (school / the lesson)
8,157,warum,why
8,157,die (Tages-)Zeitung,newspaper (kurz auch: paper)
8,157,der Brief,letter
8,157,der Wettbewerb,competition
8,157,(aus)wählen,(to) choose
