classe,page,de,en
9,158,zu langsam,too slow
9,158,"seltsam, komisch",weird
9,158,"der Ärger, Schwierigkeiten",trouble
9,158,"die dort, jene (dort)",those
9,158,"der Mobber, die Mobberin; der Tyrann, die Tyrannin",bully
9,158,"ihn, ihm",him
9,158,"sie, ihnen",them
9,158,"einige, ein paar; etwas, ein wenig",some
9,158,(immer) noch; trotzdem,still
9,158,"weg, fort",away
9,158,die Freunde/Freundinnen,her friends
9,158,seine Freunde/Freundinnen,his friends
9,158,"dieser, diese, dieses – diese (Plural); jener, jene, jenes – jene (Plural)","this, that – these, those"
9,158,die Meinung,opinion
9,158,"beste(r, s); am besten",best
9,158,wenn (zeitlich),when
9,158,lernen,(to) learn
9,158,"der Wortschatz, das Vokabular; das Vokabelverzeichnis",vocabulary (vocab)
9,158,"die Gedankenkarte, das Wörter­netz; die Mindmap",mind map
9,158,der Weg; die Art und Weise,way
9,158,die Datei; der Ordner; die Liste,file
9,158,das Wort,word
9,158,oder; sonst,or
9,158,(von) A bis Z,(from) A to Z
9,158,machen; herstellen,(to) make
9,158,die Stufe; der Schritt,step
9,158,nützlich; hilfreich,useful
9,158,schwierig; schwer,difficult
9,158,die Familie,family
9,158,"das Heim, das Zuhause",home
9,158,die Tante,aunt
9,158,der Onkel,uncle
9,158,der Bruder,brother
9,158,die Schwester,sister
9,158,"der Cousin, die Cousine",cousin
9,158,die Tochter,daughter
9,158,der Sohn,son
9,158,der Kreis,circle
9,158,"der Nachbar, die Nachbarin",neighbour
9,158,die Stiefmutter,stepmum
9,158,das (Haus-)Tier,pet
9,158,viel/e; sehr viel/e,a lot (of)
9,158,viel/e,lots (of)
9,158,das Kaninchen,rabbit
9,158,der Hamster,hamster
9,158,Hast du dich verlaufen/verirrt?,Are you lost?
9,158,wütend,angry
9,158,"der Tierarzt, die Tierärztin",vet
9,158,das Wochenende,weekend
9,158,die Arbeit,work
9,158,das Haus,house
9,158,laut,loud
9,158,unordentlich,messy
9,158,höflich,polite
9,158,"nur, bloß; erst",only
9,158,die Hausaufgabe(n),homework
9,158,"machen, tun",(to) do
9,158,vermisst,missing
9,158,fliegen,(to) fly
9,158,nennen; rufen; anrufen,(to) call
9,158,"wenn, falls",if
9,158,finden,(to) find
9,158,wollen,(to) want
9,158,aktiv,active
9,158,"niedlich, süß",cute
9,158,schnell,fast
9,158,interessant,interesting
9,158,"besondere(r, s)",special
9,158,die Eidechse,lizard
9,158,"ziemlich, ganz",quite
9,158,der Traum,dream
9,158,der Baum,tree
9,158,der Garten,garden
9,158,das Erdgeschoss,ground floor
9,158,"die Spitze, das obere Ende",top
9,158,die Wohnung,flat
9,158,der Balkon,balcony
9,158,die Garage,garage
9,158,er/sie/es hat,he/she/it has
9,158,"jede(r, s) (einzelne), jeweils",each
9,158,die Lampe,lamp
9,158,"die Tour, die Reise, der Rundgang / die Rundfahrt (durch)",tour (of)
9,158,das Schlafzimmer,bedroom
9,158,das Bad(ezimmer),bathroom
9,158,das Esszimmer,dining room
9,158,die Küche,kitchen
9,158,das Wohnzimmer,living room
9,158,der Schuh,shoe
9,158,"leben, wohnen",(to) live
9,158,"erzählen, sagen",(to) tell
9,158,das Bett,bed
9,158,das Kissen,cushion
9,158,der Kleiderschrank,wardrobe
9,158,der Spiegel,mirror
9,158,"die Kleidung, die Kleidungsstücke",clothes (pl)
9,158,das Regal(brett),"shelf, pl shelves"
9,158,der Roboter,robot
9,158,der Stuhl,chair
9,158,die Schokolade,chocolate
9,158,unter,under
9,158,der Tisch,table
9,158,vor,in front of
9,158,hinter,behind
9,158,neben,next to
9,158,die Tür,door
9,158,ordentlich,tidy
9,158,die Person,person
9,158,"die Bonbons, die Süßigkeiten",sweets (pl)
9,158,sein Terrarium / ihr Terrarium,its terrarium
9,158,"die Wand, die Mauer",wall
9,158,mein/ein eigenes Zimmer,my own room
9,158,das Problem,problem
9,158,die Eltern,parents (pl)
9,158,"natürlich, selbstverständlich",of course
9,158,bei ihrer Mutter (zu Hause/dah…),at her mum’s (house)
9,158,witzig; lustig; seltsam,funny
9,158,sprechen (mit),(to) speak (to)
9,158,später,later
9,158,das Abendessen,dinner
9,158,der Liebling,love
9,158,"unhöflich, frech",rude
9,158,klein,little
9,158,perfekt,perfect
9,158,der Teil (von),part (of)
9,158,"elektrisch, Elektro-",electric
9,158,der Kopfhörer,headphones (pl)
9,158,das Spiel,game
9,158,zurück,back
9,158,am Telefon,on the phone
9,158,das Geräusch; der Lärm,noise
9,158,die Idee,idea
9,158,wichtig,important
9,158,lang,long
